Semana,N,Nitrato de Amonio,P2O5,DAP 18-46-0,K2O,Sulfato de Potasio,MgO,Sulfato de Magnesio,Ca,Sin Calcio,B,Solubor
36,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
37,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
38,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
39,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
40,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
41,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
42,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
43,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
44,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
45,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
46,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
47,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
48,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
49,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
50,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
51,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
52,8.083271956018518,18.360314176400603,4.93878158436214,10.736481705135086,9.483619300411522,18.237729423868313,3.613276333333332,22.582977083333326,11.291488541666666,0.0011291488541666666,35.6483,173.89414634146343
