Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 12-53-0 Soluble (Lbs),DAP 12-53-0 Soluble (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Usando O Calcio (Lbs),Usando O Calcio (Cambios),Ácido Bórico (Gramos),Ácido Bórico (Cambios),",@ Melaza (Lts)",",@ Melaza (Cambios)",Admin_Costo / Aplicación (Costo / Aplicación)
11,71,38590,,3.522972636302983,,1.9560687820645233,,6.509008376847631,,3.703602436647173,,0.00011904436403508771,,66.43544759334233,,8.097165991902834,,245.0883814099996
12,78,38597,,3.522972636302983,,1.9560687820645233,,6.509008376847631,,3.703602436647173,,0.00011904436403508771,,66.43544759334233,,8.097165991902834,,245.0883814099996
13,85,38604,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
14,92,38611,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
15,99,38618,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
16,106,38625,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
17,113,38632,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
18,120,38639,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
19,127,38646,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
20,134,38653,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
21,141,38660,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
22,148,38667,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
23,155,38674,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
24,162,38681,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
25,169,38688,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
26,176,38695,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
27,183,38702,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
28,190,38709,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
29,197,38716,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
