Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
17,113,39927,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
18,120,39934,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
19,127,39941,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
20,134,39948,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
21,141,39955,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
22,148,39962,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
23,155,39969,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
24,162,39976,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
25,169,39983,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
26,176,39990,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
27,183,39997,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
28,190,40004,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
29,197,40011,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
30,204,40018,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
31,211,40025,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
32,218,40032,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
33,225,40039,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
34,232,40046,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
35,239,40053,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
36,246,40060,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
37,253,40067,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
38,260,40074,,7.209361360829298,,2.007918956521739,,15.63909013333333,,10.03741611938793,,20.689716915126517,,348.13608097560973,,20.019999999999996,,585.9649359644466
