Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Preventivos (Unidades),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Admin_Costo / Aplicación (Costo / Aplicación)
19,127,40053,,0.0,0,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,2738.614112810979
20,134,40060,,0.0,0,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,2738.614112810979
21,141,40067,0,0.0,0,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,2738.614112810979
22,148,40074,,0.0,0,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,2738.614112810979
23,155,40081,,0.0,0,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,2738.614112810979
24,162,40088,,0.0,0,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,2738.614112810979
25,169,40095,0,0.0,0,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,2738.614112810979
26,176,40102,,0.0,0,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,2738.614112810979
27,183,40109,,0.0,0,113.86388252798952,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,2904.387087737701
28,190,40116,,0.0,0,113.86388252798952,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,2904.387087737701
29,197,40123,0,0.0,0,113.86388252798952,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,2904.387087737701
30,204,40130,,0.0,0,113.86388252798952,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,2904.387087737701
31,211,40137,,0.0,0,113.86388252798952,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,2904.387087737701
32,218,40144,,0.0,0,92.19515081491251,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,2794.9599925866623
33,225,40151,0,0.0,0,92.19515081491251,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,2794.9599925866623
