Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulpomag (K Mag) (Lbs),Sulpomag (K Mag) (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
14,92,39540,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
15,99,39547,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
16,106,39554,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
17,113,39561,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
18,120,39568,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
19,127,39575,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
20,134,39582,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
21,141,39589,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
22,148,39596,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
23,155,39603,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
24,162,39610,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
25,169,39617,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
26,176,39624,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
27,183,39631,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
28,190,39638,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
29,197,39645,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
30,204,39652,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
31,211,39659,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
32,218,39666,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
33,225,39673,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
34,232,39680,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
35,239,39687,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
36,246,39694,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
37,253,39701,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
38,260,39708,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
39,267,39715,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
40,274,39722,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
41,281,39729,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
42,288,39736,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
43,295,39743,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
44,302,39750,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
45,309,39757,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
46,316,39764,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
47,323,39771,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
48,330,39778,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
49,337,39785,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
50,344,39792,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,,,23.686828827443428
51,351,39799,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,20.019999999999996,,79.74282882744342
52,358,39806,,1.9626049791823488,,1.385296956521739,,0.828356566769431,,1.1757863269924604,,4.4988083416676395e-05,,0.0356839483,,,,23.686828827443428
