Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Preventivos (Unidades),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Admin_Costo / Aplicación (Costo / Aplicación)
17,113,40004,0,0.0,0,3.556547113747138,,1.4395956521739128,,3.54025,,2.2721886064793186,,0.000126456384705,,0.018715357499999998,,10.499999999999998,95.53305044689459
18,120,40011,Acido Salicílico,131.24999999999997,g,3.556547113747138,,1.4395956521739128,,3.54025,,2.2721886064793186,,0.000126456384705,,0.018715357499999998,,10.499999999999998,117.84555044689459
19,127,40018,,0.0,0,3.556547113747138,,1.4395956521739128,,3.54025,,2.2721886064793186,,0.000126456384705,,0.018715357499999998,,10.499999999999998,95.53305044689459
20,134,40025,,0.0,0,3.556547113747138,,1.4395956521739128,,3.54025,,2.2721886064793186,,0.000126456384705,,0.018715357499999998,,10.499999999999998,95.53305044689459
21,141,40032,0,0.0,0,3.556547113747138,,1.4395956521739128,,3.54025,,2.2721886064793186,,0.000126456384705,,0.018715357499999998,,10.499999999999998,95.53305044689459
22,148,40039,,0.0,0,3.556547113747138,,1.4395956521739128,,3.54025,,2.2721886064793186,,0.000126456384705,,0.018715357499999998,,10.499999999999998,95.53305044689459
23,155,40046,,0.0,0,3.556547113747138,,1.4395956521739128,,3.54025,,2.2721886064793186,,0.000126456384705,,0.018715357499999998,,10.499999999999998,95.53305044689459
24,162,40053,,0.0,0,3.556547113747138,,1.4395956521739128,,3.54025,,2.2721886064793186,,0.000126456384705,,0.018715357499999998,,10.499999999999998,95.53305044689459
25,169,40060,0,0.0,0,3.556547113747138,,1.4395956521739128,,3.54025,,2.2721886064793186,,0.000126456384705,,0.018715357499999998,,10.499999999999998,95.53305044689459
26,176,40067,,0.0,0,3.556547113747138,,1.4395956521739128,,3.54025,,2.2721886064793186,,0.000126456384705,,0.018715357499999998,,10.499999999999998,95.53305044689459
27,183,40074,,0.0,0,3.556547113747138,,1.4395956521739128,,3.897249999999999,,2.501316869317569,,0.00013920828904499997,,0.018715357499999998,,10.499999999999998,99.21781226063305
28,190,40081,,0.0,0,3.971995902139169,,1.4395956521739128,,3.897249999999999,,2.501316869317569,,0.00013920828904499997,,0.018715357499999998,,10.499999999999998,101.31582864201282
29,197,40088,0,0.0,0,3.971995902139169,,1.4395956521739128,,3.897249999999999,,2.501316869317569,,0.00013920828904499997,,0.018715357499999998,,10.499999999999998,101.31582864201282
30,204,40095,,0.0,0,3.971995902139169,,1.4395956521739128,,3.897249999999999,,2.501316869317569,,0.00013920828904499997,,0.018715357499999998,,10.499999999999998,101.31582864201282
31,211,40102,,0.0,0,3.518464308144534,,1.4395956521739128,,3.897249999999999,,2.501316869317569,,0.00013920828904499997,,0.018715357499999998,,10.499999999999998,99.02549409233991
32,218,40109,,0.0,0,3.518464308144534,,1.4395956521739128,,3.897249999999999,,2.501316869317569,,0.00013920828904499997,,0.018715357499999998,,10.499999999999998,99.02549409233991
33,225,40116,0,0.0,0,3.518464308144534,,1.4395956521739128,,3.897249999999999,,2.501316869317569,,0.00013920828904499997,,0.018715357499999998,,10.499999999999998,99.02549409233991
34,232,40123,,0.0,0,3.518464308144534,,1.4395956521739128,,3.897249999999999,,2.501316869317569,,0.00013920828904499997,,0.018715357499999998,,10.499999999999998,99.02549409233991
35,239,40130,,0.0,0,3.518464308144534,,1.4395956521739128,,3.897249999999999,,2.501316869317569,,0.00013920828904499997,,0.018715357499999998,,10.499999999999998,99.02549409233991
36,246,40137,,0.0,0,3.518464308144534,,1.4395956521739128,,3.897249999999999,,2.501316869317569,,0.00013920828904499997,,0.018715357499999998,,10.499999999999998,99.02549409233991
37,253,40144,0,0.0,0,3.518464308144534,,1.4395956521739128,,3.897249999999999,,2.501316869317569,,0.00013920828904499997,,0.018715357499999998,,10.499999999999998,99.02549409233991
38,260,40151,,0.0,0,3.518464308144534,,1.4395956521739128,,3.897249999999999,,2.501316869317569,,0.00013920828904499997,,0.018715357499999998,,10.499999999999998,99.02549409233991
39,267,40158,,0.0,0,3.518464308144534,,1.4395956521739128,,3.897249999999999,,2.501316869317569,,0.00013920828904499997,,0.018715357499999998,,10.499999999999998,99.02549409233991
40,274,40165,,0.0,0,2.6184203039329983,,1.4395956521739128,,4.101159999999999,,2.632189541797534,,0.00014649187675919997,,0.018715357499999998,,10.499999999999998,96.58492111880109
41,281,40172,0,0.0,0,2.6184203039329983,,1.4395956521739128,,4.101159999999999,,2.632189541797534,,0.00014649187675919997,,0.018715357499999998,,10.499999999999998,96.58492111880109
42,288,40179,,0.0,0,2.6184203039329983,,1.4395956521739128,,4.101159999999999,,2.632189541797534,,0.00014649187675919997,,0.018715357499999998,,10.499999999999998,96.58492111880109
43,295,40186,,0.0,0,2.6184203039329983,,1.4395956521739128,,4.101159999999999,,2.632189541797534,,0.00014649187675919997,,0.018715357499999998,,10.499999999999998,96.58492111880109
44,302,40193,,0.0,0,2.6184203039329983,,1.4395956521739128,,4.101159999999999,,2.632189541797534,,0.00014649187675919997,,0.018715357499999998,,10.499999999999998,96.58492111880109
45,309,40200,0,0.0,0,2.6184203039329983,,1.4395956521739128,,4.101159999999999,,2.632189541797534,,0.00014649187675919997,,0.018715357499999998,,10.499999999999998,96.58492111880109
46,316,40207,,0.0,0,2.6184203039329983,,1.4395956521739128,,4.101159999999999,,2.632189541797534,,0.00014649187675919997,,0.018715357499999998,,10.499999999999998,96.58492111880109
47,323,40214,,0.0,0,1.8229852184979527,,1.4395956521739128,,4.101159999999999,,2.632189541797534,,0.00014649187675919997,,0.018715357499999998,,10.499999999999998,92.56797393735411
48,330,40221,,0.0,0,1.8229852184979527,,1.4395956521739128,,4.101159999999999,,2.632189541797534,,0.00014649187675919997,,0.018715357499999998,,10.499999999999998,92.56797393735411
49,337,40228,0,0.0,0,2.1802631012956843,,0.5265521739130433,,4.101159999999999,,2.632189541797534,,0.00014649187675919997,,0.018715357499999998,,10.499999999999998,86.99483594113482
50,344,40235,,0.0,0,2.1802631012956843,,0.5265521739130433,,4.101159999999999,,2.632189541797534,,0.00014649187675919997,,0.018715357499999998,,10.499999999999998,86.99483594113482
51,351,40242,,0.0,0,2.1802631012956843,,0.5265521739130433,,4.101159999999999,,2.632189541797534,,0.00014649187675919997,,0.018715357499999998,,10.499999999999998,86.99483594113482
52,358,40249,,0.0,0,2.1802631012956843,,0.5265521739130433,,4.101159999999999,,2.632189541797534,,0.00014649187675919997,,0.018715357499999998,,,57.594835941134825
