Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
14,92,39906,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
15,99,39913,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
16,106,39920,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
17,113,39927,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
18,120,39934,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
19,127,39941,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
20,134,39948,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
21,141,39955,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
22,148,39962,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
23,155,39969,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
24,162,39976,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
25,169,39983,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
