Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
35,239,38027,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
36,246,38034,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
37,253,38041,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
38,260,38048,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
39,267,38055,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
40,274,38062,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
41,281,38069,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
42,288,38076,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
43,295,38083,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
44,302,38090,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
45,309,38097,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
46,316,38104,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
47,323,38111,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
48,330,38118,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
49,337,38125,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
50,344,38132,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
51,351,38139,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
52,358,38146,,0.6245783928260867,,4.760721650439275,,19.19320999447703,,15.398133278446329,,25.391635836404504,,271.5461431609756,,20.019999999999996,,362.5196082436646
