Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación K:Mg (1:0.5) (K2O/1.17)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
,32.0,5,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,12.2222,2.2016526190476196,0.2496916666666667,0.17644423452442554
,33.0,5,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,17.3149,2.2016526190476196,0.2496916666666667,0.17644423452442554
,34.0,5,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,17.3149,2.2016526190476196,0.2496916666666667,0.17644423452442554
4.0,35.0,5,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,17.3149,2.2016526190476196,0.2496916666666667,0.17644423452442554
5.0,36.0,6,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,17.3149,2.2016526190476196,0.2496916666666667,0.17644423452442554
,37.0,6,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,17.3149,2.2016526190476196,0.2496916666666667,0.17644423452442554
,38.0,6,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,17.3149,2.2016526190476196,0.2496916666666667,0.17644423452442554
,39.0,6,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,17.3149,2.2016526190476196,0.2496916666666667,0.17644423452442554
,40.0,6,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,17.3149,2.2016526190476196,0.2496916666666667,0.17644423452442554
,41.0,6,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,17.3149,2.2016526190476196,0.2496916666666667,0.17644423452442554
,42.0,6,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,17.3149,2.2016526190476196,0.2496916666666667,0.17644423452442554
,43.0,7,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,17.3149,2.2016526190476196,0.2496916666666667,0.17644423452442554
,44.0,7,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,17.3149,2.2016526190476196,0.2496916666666667,0.17644423452442554
5.0,45.0,7,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,17.3149,2.2016526190476196,0.2496916666666667,0.17644423452442554
