Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,CaO,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O,Columna_12,Mayo - Oct a Dic 122 dias de crecimiento y maduracion,Mayo - Oct a Dic 122 dias de crecimiento y maduracion,25,vivero sep a mayo,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22
,68.0,10,2,0.45,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,69.0,10,2,0.45,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,70.0,10,2,0.45,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,71.0,11,2,0.45,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,72.0,11,2,0.45,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,73.0,11,2,0.45,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,74.0,11,2,0.45,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,75.0,11,2,0.45,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,76.0,11,2,0.35,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,77.0,11,2,0.35,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,78.0,12,2,0.35,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,79.0,12,2,0.35,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,80.0,12,2,0.35,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,81.0,12,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,82.0,12,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,83.0,12,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,84.0,12,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,85.0,13,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,86.0,13,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,87.0,13,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,88.0,13,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,89.0,13,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,90.0,13,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,91.0,13,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,92.0,14,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,93.0,14,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,94.0,14,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,95.0,14,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,96.0,14,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,97.0,14,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,98.0,14,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,99.0,15,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,100.0,15,2,0.35,1.681262,0.28774949873834765,1.000900662674,35.6483,4,0.4,0.49999999999999994,,,,,,,,,,,
,101.0,15,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,102.0,15,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,103.0,15,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,104.0,15,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,105.0,15,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,106.0,16,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,107.0,16,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,108.0,16,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,109.0,16,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,110.0,16,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,111.0,16,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,112.0,16,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,113.0,17,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,114.0,17,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,115.0,17,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,116.0,17,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,117.0,17,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,118.0,17,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,119.0,17,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,120.0,18,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,121.0,18,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,122.0,18,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,123.0,18,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,124.0,18,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,125.0,18,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
,126.0,18,2,0.35,2.169370322580645,0.37128967579141636,1.2914847260309679,35.6483,3.1,0.4,0.5,,,,,,,,,,,
