Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Nitrato de Potasio (Lbs),Admin_Nitrato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
33,225,40336,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
34,232,40343,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
35,239,40350,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
36,246,40357,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
37,253,40364,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
38,260,40371,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
39,267,40378,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
40,274,40385,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
41,281,40392,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
42,288,40399,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
43,295,40406,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
44,302,40413,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
45,309,40420,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
46,316,40427,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
47,323,40434,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
48,330,40441,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
49,337,40448,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
50,344,40455,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,,,56.992501466528076
51,351,40462,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,14.0,,91.99250146652807
52,358,40469,,0.0,,1.342968260869565,,4.713592976984346,,2.0874285313016,,3.824650122833226,,107.11879414634147,,,,56.992501466528076
