Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,CaO,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O,Columna_12,Columna_13,Kilos/Ha,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22,Columna_23,Columna_24,Columna_25
,50.0,8,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,23.426,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,51.0,8,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,23.426,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,52.0,8,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,23.426,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,53.0,8,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,23.426,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,54.0,8,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,23.426,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,55.0,8,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,23.426,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,56.0,8,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,23.426,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,57.0,9,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,23.426,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,58.0,9,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,23.426,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,59.0,9,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,23.426,2.6599070447761193,0.4,0.5,,,,,,,,,,5.3,0.35,6.7,1.1,0.7
,60.0,9,5.3,0.35,6.7,1.1467110072950732,3.9886909000000004,23.426,2.6599070447761193,0.4,0.5,,134,11,174,17,17,,,,5.3,0.35,6.7,1.1,0.7
,61.0,9,9.153846153846153,0.5384615384615384,9.615384615384615,1.645681698184663,5.724298076923077,23.426,3.201122848,0.4,0.5,,111,7,127,9,12,,,,9.153846153846153,0.5384615384615384,9.615384615384615,0,1
,62.0,9,9.153846153846153,0.5384615384615384,9.615384615384615,1.645681698184663,5.724298076923077,23.426,3.201122848,0.4,0.5,,132,9,164,26,16,,,,9.153846153846153,0.5384615384615384,9.615384615384615,0,1
,63.0,9,9.153846153846153,0.5384615384615384,9.615384615384615,1.645681698184663,5.724298076923077,29.5372,3.201122848,0.4,0.5,,,,,,,,,,9.153846153846153,0.5384615384615384,9.615384615384615,0,1
,64.0,10,9.153846153846153,0.5384615384615384,9.615384615384615,1.645681698184663,5.724298076923077,29.5372,3.201122848,0.4,0.5,,,,,,,,,,9.153846153846153,0.5384615384615384,9.615384615384615,0,1
,65.0,10,9.153846153846153,0.5384615384615384,9.615384615384615,1.645681698184663,5.724298076923077,29.5372,3.201122848,0.4,0.5,,,,,,,,,,9.153846153846153,0.5384615384615384,9.615384615384615,0,1
,66.0,10,9.153846153846153,0.5384615384615384,9.615384615384615,1.645681698184663,5.724298076923077,29.5372,3.201122848,0.4,0.5,,,,,,,,,,9.153846153846153,0.5384615384615384,9.615384615384615,0,1
,67.0,10,9.153846153846153,0.5384615384615384,9.615384615384615,1.645681698184663,5.724298076923077,29.5372,3.201122848,0.4,0.5,,,,,,,,,,9.153846153846153,0.5384615384615384,9.615384615384615,0,1
,68.0,10,9.153846153846153,0.5384615384615384,9.615384615384615,1.645681698184663,5.724298076923077,29.5372,3.201122848,0.4,0.5,,,,,,,,,,9.153846153846153,0.5384615384615384,9.615384615384615,0,1
,69.0,10,9.153846153846153,0.5384615384615384,9.615384615384615,1.645681698184663,5.724298076923077,29.5372,3.201122848,0.4,0.5,,,,,,,,,,9.153846153846153,0.5384615384615384,9.615384615384615,0,1
,70.0,10,9.153846153846153,0.5384615384615384,9.615384615384615,1.645681698184663,5.724298076923077,29.5372,3.201122848,0.4,0.5,,,,,,,,,,9.153846153846153,0.5384615384615384,9.615384615384615,0,1
,71.0,11,9.153846153846153,0.5384615384615384,9.615384615384615,1.645681698184663,5.724298076923077,29.5372,3.201122848,0.4,0.5,,,,,,,,,,9.153846153846153,0.5384615384615384,9.615384615384615,0,1
,72.0,11,9.153846153846153,0.5384615384615384,9.615384615384615,1.645681698184663,5.724298076923077,29.5372,3.201122848,0.4,0.5,,,,,,,,,,9.153846153846153,0.5384615384615384,9.615384615384615,0,1
,73.0,11,9.153846153846153,0.5384615384615384,9.615384615384615,1.645681698184663,5.724298076923077,29.5372,3.201122848,0.4,0.5,,149,10,159,24,18,,,,9.153846153846153,0.5384615384615384,9.615384615384615,0,1
,74.0,11,2.0714285714285716,0.21428571428571427,2.5714285714285716,0.44010230557166996,1.5308408571428573,29.5372,2.7086998888888894,0.4,0.5,,217,14,237,41,23,,,,2.0714285714285716,0.21428571428571427,2.5714285714285716,-0.2857142857142857,-0.6428571428571429
,75.0,11,2.0714285714285716,0.21428571428571427,2.5714285714285716,0.44010230557166996,1.5308408571428573,29.5372,2.7086998888888894,0.4,0.5,,251,16,289,26,29,,,,2.0714285714285716,0.21428571428571427,2.5714285714285716,-0.2857142857142857,-0.6428571428571429
,76.0,11,2.0714285714285716,0.21428571428571427,2.5714285714285716,0.44010230557166996,1.5308408571428573,29.5372,2.7086998888888894,0.4,0.5,,,,,,,,,,2.0714285714285716,0.21428571428571427,2.5714285714285716,-0.2857142857142857,-0.6428571428571429
,77.0,11,2.0714285714285716,0.21428571428571427,2.5714285714285716,0.44010230557166996,1.5308408571428573,29.5372,2.7086998888888894,0.4,0.5,,,,,,,,,,2.0714285714285716,0.21428571428571427,2.5714285714285716,-0.2857142857142857,-0.6428571428571429
,78.0,12,2.0714285714285716,0.21428571428571427,2.5714285714285716,0.44010230557166996,1.5308408571428573,29.5372,2.7086998888888894,0.4,0.5,,,,,,,,,,2.0714285714285716,0.21428571428571427,2.5714285714285716,-0.2857142857142857,-0.6428571428571429
,79.0,12,2.0714285714285716,0.21428571428571427,2.5714285714285716,0.44010230557166996,1.5308408571428573,29.5372,2.7086998888888894,0.4,0.5,,,,,,,,,,2.0714285714285716,0.21428571428571427,2.5714285714285716,-0.2857142857142857,-0.6428571428571429
,80.0,12,2.0714285714285716,0.21428571428571427,2.5714285714285716,0.44010230557166996,1.5308408571428573,29.5372,2.7086998888888894,0.4,0.5,,,,,,,,,,2.0714285714285716,0.21428571428571427,2.5714285714285716,-0.2857142857142857,-0.6428571428571429
,81.0,12,2.0714285714285716,0.21428571428571427,2.5714285714285716,0.44010230557166996,1.5308408571428573,35.6483,2.7086998888888894,0.4,0.5,,,,,,,,,,2.0714285714285716,0.21428571428571427,2.5714285714285716,-0.2857142857142857,-0.6428571428571429
,82.0,12,2.0714285714285716,0.21428571428571427,2.5714285714285716,0.44010230557166996,1.5308408571428573,35.6483,2.7086998888888894,0.4,0.5,,,,,,,,,,2.0714285714285716,0.21428571428571427,2.5714285714285716,-0.2857142857142857,-0.6428571428571429
,83.0,12,2.0714285714285716,0.21428571428571427,2.5714285714285716,0.44010230557166996,1.5308408571428573,35.6483,2.7086998888888894,0.4,0.5,,,,,,,,,,2.0714285714285716,0.21428571428571427,2.5714285714285716,-0.2857142857142857,-0.6428571428571429
,84.0,12,2.0714285714285716,0.21428571428571427,2.5714285714285716,0.44010230557166996,1.5308408571428573,35.6483,2.7086998888888894,0.4,0.5,,,,,,,,,,2.0714285714285716,0.21428571428571427,2.5714285714285716,-0.2857142857142857,-0.6428571428571429
,85.0,13,2.0714285714285716,0.21428571428571427,2.5714285714285716,0.44010230557166996,1.5308408571428573,35.6483,2.7086998888888894,0.4,0.5,,,,,,,,,,2.0714285714285716,0.21428571428571427,2.5714285714285716,-0.2857142857142857,-0.6428571428571429
,86.0,13,2.0714285714285716,0.21428571428571427,2.5714285714285716,0.44010230557166996,1.5308408571428573,35.6483,2.7086998888888894,0.4,0.5,,,,,,,,,,2.0714285714285716,0.21428571428571427,2.5714285714285716,-0.2857142857142857,-0.6428571428571429
