Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación),Columna_19
37,253,44084,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
38,260,44091,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
39,267,44098,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
40,274,44105,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
41,281,44112,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
42,288,44119,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
43,295,44126,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
44,302,44133,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
45,309,44140,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
46,316,44147,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
47,323,44154,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
48,330,44161,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
49,337,44168,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
50,344,44175,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,,,507.38383771584535,
51,351,44182,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
52,358,44189,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,,,507.38383771584535,
