Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
23,155,39603,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
24,162,39610,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
25,169,39617,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
26,176,39624,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
27,183,39631,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
28,190,39638,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
29,197,39645,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
30,204,39652,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
31,211,39659,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
32,218,39666,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
33,225,39673,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
34,232,39680,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
35,239,39687,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
36,246,39694,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
37,253,39701,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
38,260,39708,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
39,267,39715,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
40,274,39722,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
41,281,39729,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
42,288,39736,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
43,295,39743,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
44,302,39750,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
45,309,39757,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
46,316,39764,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
47,323,39771,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
48,330,39778,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
49,337,39785,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
50,344,39792,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
51,351,39799,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
52,358,39806,,4.7859632398348975,,3.397709699999999,,10.041864876267836,,7.6807604204384,,15.832038534780692,,348.13608097560973,,20.019999999999996,,375.4254027093028
