Semana,N,Nitrato de Amonio,P2O5,FofatoMonoPotasico,K2O,Kcl Soluble,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
12,5.017414386624318,6.159205077070919,3.012576050118432,5.793415480996985,8.643683167104111,11.12320317260856,1.4793741240730482,9.246088275456552,5.145817968822589,19.058585069713292,29.5372,144.0839024390244
13,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
14,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
15,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
16,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
17,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
18,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
19,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
20,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
21,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
22,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
23,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
24,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
25,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
26,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
27,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
28,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
29,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
30,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
31,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
32,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
