Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación),Columna_19
11,71,43902,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,7060.111219512196,,140.0,,3183.7408504746822,
12,78,43909,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,7894.798048780487,,140.0,,3217.128323645414,
13,85,43916,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,8520.813170731708,,140.0,,3242.168928523463,
14,92,43923,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,8520.813170731708,,140.0,,3242.168928523463,
15,99,43930,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,8520.813170731708,,140.0,,3242.168928523463,
16,106,43937,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,8520.813170731708,,140.0,,3242.168928523463,
17,113,43944,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,8520.813170731708,,140.0,,3242.168928523463,
18,120,43951,,96.84033585392099,,49.602459016393446,,94.37386381140684,,60.570642779947605,,124.85179826945199,,8520.813170731708,,140.0,,3643.03632023058,OJO
19,127,43958,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,OJO Inicia la Floracion
20,134,43965,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
21,141,43972,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
22,148,43979,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
23,155,43986,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
24,162,43993,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
25,169,44000,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
26,176,44007,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
27,183,44014,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
28,190,44021,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
29,197,44028,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
30,204,44035,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
31,211,44042,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
32,218,44049,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
33,225,44056,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
34,232,44063,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
35,239,44070,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
36,246,44077,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
37,253,44084,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
38,260,44091,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
39,267,44098,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
40,274,44105,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
41,281,44112,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
42,288,44119,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
43,295,44126,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
44,302,44133,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
45,309,44140,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
46,316,44147,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
47,323,44154,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
48,330,44161,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
49,337,44168,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
50,344,44175,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
51,351,44182,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
52,358,44189,,89.59389280894968,,49.602459016393446,,110.62964896552475,,71.00386354587161,,146.3573711771088,,8520.813170731708,,140.0,,3943.686864010918,
