Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulpomag (K Mag) (Lbs),Admin_Sulpomag (K Mag)_Cambios,Sin Calcio,Admin_Sulpomag (K Mag)_Cambios_1,Sin Boro,Admin_Sulpomag (K Mag)_Cambios_2,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
14,94,39542,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
15,101,39549,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
16,108,39556,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
17,115,39563,TricoZam,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,1.001,519.3399008960519
18,122,39570,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
19,129,39577,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
20,136,39584,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
21,143,39591,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
22,150,39598,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
23,157,39605,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
24,164,39612,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
25,171,39619,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
26,178,39626,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
27,185,39633,Acido Fosforoso,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,5.004999999999999,539.3599008960518
28,192,39640,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
29,199,39647,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
30,206,39654,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
31,213,39661,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
32,220,39668,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
33,227,39675,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
34,234,39682,TricoZam,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,1.001,519.3399008960519
35,241,39689,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
36,248,39696,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
37,255,39703,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
38,262,39710,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
39,269,39717,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
40,276,39724,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
41,283,39731,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
42,290,39738,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
43,297,39745,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
44,304,39752,Acido Fosforoso,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,5.004999999999999,539.3599008960518
45,311,39759,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
46,318,39766,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
47,325,39773,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
48,332,39780,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
49,339,39787,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
50,346,39794,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
51,353,39801,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
52,360,39808,,6.86911742713822,,4.848539347826087,,2.8992479836930087,,4.115252144473612,,0.0001574582919583674,,0.12489381904999998,,20.019999999999996,,138.95990089605198
