Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Nitrato de Potasio (Lbs),Nitrato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
27,183,40294,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
28,190,40301,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
29,197,40308,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
30,204,40315,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
31,211,40322,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
32,218,40329,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
33,225,40336,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
34,232,40343,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
35,239,40350,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
36,246,40357,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
37,253,40364,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
38,260,40371,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
39,267,40378,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
40,274,40385,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
41,281,40392,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
42,288,40399,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
43,295,40406,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
44,302,40413,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
45,309,40420,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
46,316,40427,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
47,323,40434,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
48,330,40441,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
49,337,40448,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
50,344,40455,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
51,351,40462,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
52,358,40469,,0.0,,2.68593652173913,,9.427185953968692,,4.1748570626032,,7.649300245666452,,214.23758829268294,,14.0,,148.98500293305614
