Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
37,253,40144,,7.036928616289068,,2.8791913043478257,,7.794499999999998,,5.002633738635138,,0.00027841657808999994,,0.037430714999999996,,10.499999999999998,,168.65098818467982
38,260,40151,,7.036928616289068,,2.8791913043478257,,7.794499999999998,,5.002633738635138,,0.00027841657808999994,,0.037430714999999996,,10.499999999999998,,168.65098818467982
39,267,40158,,7.036928616289068,,2.8791913043478257,,7.794499999999998,,5.002633738635138,,0.00027841657808999994,,0.037430714999999996,,10.499999999999998,,168.65098818467982
40,274,40165,,5.236840607865997,,2.8791913043478257,,8.202319999999999,,5.264379083595068,,0.00029298375351839994,,0.037430714999999996,,10.499999999999998,,163.76984223760218
41,281,40172,,5.236840607865997,,2.8791913043478257,,8.202319999999999,,5.264379083595068,,0.00029298375351839994,,0.037430714999999996,,10.499999999999998,,163.76984223760218
42,288,40179,,5.236840607865997,,2.8791913043478257,,8.202319999999999,,5.264379083595068,,0.00029298375351839994,,0.037430714999999996,,10.499999999999998,,163.76984223760218
43,295,40186,,5.236840607865997,,2.8791913043478257,,8.202319999999999,,5.264379083595068,,0.00029298375351839994,,0.037430714999999996,,10.499999999999998,,163.76984223760218
44,302,40193,,5.236840607865997,,2.8791913043478257,,8.202319999999999,,5.264379083595068,,0.00029298375351839994,,0.037430714999999996,,10.499999999999998,,163.76984223760218
45,309,40200,,5.236840607865997,,2.8791913043478257,,8.202319999999999,,5.264379083595068,,0.00029298375351839994,,0.037430714999999996,,10.499999999999998,,163.76984223760218
46,316,40207,,5.236840607865997,,2.8791913043478257,,8.202319999999999,,5.264379083595068,,0.00029298375351839994,,0.037430714999999996,,10.499999999999998,,163.76984223760218
47,323,40214,,3.6459704369959054,,2.8791913043478257,,8.202319999999999,,5.264379083595068,,0.00029298375351839994,,0.037430714999999996,,10.499999999999998,,155.73594787470822
48,330,40221,,4.003248319793637,,1.966147826086956,,8.202319999999999,,5.264379083595068,,0.00029298375351839994,,0.037430714999999996,,10.499999999999998,,150.16280987848893
49,337,40228,,4.360526202591369,,1.0531043478260866,,8.202319999999999,,5.264379083595068,,0.00029298375351839994,,0.037430714999999996,,10.499999999999998,,144.58967188226964
50,344,40235,,4.360526202591369,,1.0531043478260866,,8.202319999999999,,5.264379083595068,,0.00029298375351839994,,0.037430714999999996,,10.499999999999998,,144.58967188226964
51,351,40242,,4.360526202591369,,1.0531043478260866,,8.202319999999999,,5.264379083595068,,0.00029298375351839994,,0.037430714999999996,,10.499999999999998,,144.58967188226964
52,358,40249,,4.360526202591369,,1.0531043478260866,,8.202319999999999,,5.264379083595068,,0.00029298375351839994,,0.037430714999999996,,10.499999999999998,,144.58967188226964
