Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
42,290,38809,,29.596266144408762,,20.66111989778722,,70.05913915,,41.43873725750508,,19.441426682822584,,609.2381417073171,,20.019999999999996,,903.85388225256
43,297,38816,,29.596266144408762,,20.66111989778722,,70.05913915,,41.43873725750508,,19.441426682822584,,609.2381417073171,,20.019999999999996,,903.85388225256
44,304,38823,,29.596266144408762,,20.66111989778722,,70.05913915,,41.43873725750508,,19.441426682822584,,609.2381417073171,,20.019999999999996,,903.85388225256
45,311,38830,,29.596266144408762,,20.66111989778722,,70.05913915,,41.43873725750508,,19.441426682822584,,609.2381417073171,,20.019999999999996,,903.85388225256
46,318,38837,,29.596266144408762,,20.66111989778722,,70.05913915,,41.43873725750508,,19.441426682822584,,609.2381417073171,,20.019999999999996,,903.85388225256
47,325,38844,,29.596266144408762,,20.66111989778722,,70.05913915,,41.43873725750508,,19.441426682822584,,609.2381417073171,,20.019999999999996,,903.85388225256
48,332,38851,,29.596266144408762,,20.66111989778722,,70.05913915,,41.43873725750508,,19.441426682822584,,609.2381417073171,,20.019999999999996,,903.85388225256
49,339,38858,,29.596266144408762,,20.66111989778722,,70.05913915,,41.43873725750508,,19.441426682822584,,609.2381417073171,,20.019999999999996,,903.85388225256
50,346,38865,,29.596266144408762,,20.66111989778722,,70.05913915,,41.43873725750508,,19.441426682822584,,609.2381417073171,,20.019999999999996,,903.85388225256
51,353,38872,,29.596266144408762,,20.66111989778722,,70.05913915,,41.43873725750508,,19.441426682822584,,609.2381417073171,,20.019999999999996,,903.85388225256
52,360,38879,,29.596266144408762,,20.66111989778722,,70.05913915,,41.43873725750508,,19.441426682822584,,609.2381417073171,,20.019999999999996,,903.85388225256
