Columna_0,N,Columna_2,P2O5,Columna_4,K2O,Columna_6,MgO,Columna_8,Ca,Columna_10,B,Columna_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,9.1667,44.715609756097564,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,9.1667,44.715609756097564,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,9.1667,44.715609756097564,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,9.1667,44.715609756097564,,,,,,,,,
3,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,9.1667,44.715609756097564,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,9.1667,44.715609756097564,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,9.1667,44.715609756097564,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,12.2222,59.62048780487805,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,12.2222,59.62048780487805,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,12.2222,59.62048780487805,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,12.2222,59.62048780487805,,,,,,,,,
4,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,12.2222,59.62048780487805,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,12.2222,59.62048780487805,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,12.2222,59.62048780487805,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,12.2222,59.62048780487805,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,12.2222,59.62048780487805,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,12.2222,59.62048780487805,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,12.2222,59.62048780487805,,,,,,,,,
5,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,12.2222,59.62048780487805,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,12.2222,59.62048780487805,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,12.2222,59.62048780487805,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,12.2222,59.62048780487805,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,17.3149,84.46292682926831,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,17.3149,84.46292682926831,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,17.3149,84.46292682926831,,,,,,,,,
6,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,17.3149,84.46292682926831,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,17.3149,84.46292682926831,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,17.3149,84.46292682926831,,,,,,,,,
