Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
21,141,39955,,52.63546010616321,,30.057542477388612,,46.12109328301097,,29.601249255286316,,0.0016474279260537046,,1218.4762834146343,,20.019999999999996,,1188.4341667214062
22,148,39962,,52.63546010616321,,30.057542477388612,,46.12109328301097,,29.601249255286316,,0.0016474279260537046,,1218.4762834146343,,20.019999999999996,,1188.4341667214062
23,155,39969,,52.63546010616321,,30.057542477388612,,46.12109328301097,,29.601249255286316,,0.0016474279260537046,,1218.4762834146343,,20.019999999999996,,1188.4341667214062
24,162,39976,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
25,169,39983,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
26,176,39990,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
27,183,39997,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
28,190,40004,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
29,197,40011,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
30,204,40018,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
31,211,40025,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
32,218,40032,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
33,225,40039,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
34,232,40046,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
35,239,40053,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
36,246,40060,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
37,253,40067,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
38,260,40074,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
39,267,40081,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
40,274,40088,,39.76356892443299,,24.046033981910888,,49.20021436645817,,31.577478008560515,,0.0017574129610884268,,1218.4762834146343,,20.019999999999996,,1131.630109131656
