Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
29,197,40011,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
30,204,40018,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
31,211,40025,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
32,218,40032,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
33,225,40039,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
34,232,40046,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
35,239,40053,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
36,246,40060,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
37,253,40067,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
38,260,40074,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
39,267,40081,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
40,274,40088,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
41,281,40095,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
42,288,40102,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
43,295,40109,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
44,302,40116,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
45,309,40123,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
46,316,40130,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
47,323,40137,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
48,330,40144,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
49,337,40151,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
50,344,40158,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
51,351,40165,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
52,358,40172,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
