Para Apio de cosecha de hoja semanal,Para Apio de cosecha de hoja semanal_1,Para Apio de cosecha de hoja semanal_2,Para Apio de cosecha de hoja semanal_3,Para Apio de cosecha de hoja semanal_4,Para Apio de cosecha de hoja semanal_5,Para Apio de cosecha de hoja semanal_6,Para Apio de cosecha de hoja semanal_7,Para Apio de cosecha de hoja semanal_8,Para Apio de cosecha de hoja semanal_9,Para Apio de cosecha de hoja semanal_10,Para Apio de cosecha de hoja semanal_11,Para Apio de cosecha de hoja semanal_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18
11,77,39196,,10.95396032530676,,49.035025925925915,,94.61443388305625,,65.2794228030193,,107.64625175345884,,1009.595904390244,,20.019999999999996,,1317.153483683542
12,84,39203,,12.24900982189475,,54.83227037037035,,105.80037680519101,,72.99718707529745,,120.37290220706976,,1128.9561209756096,,20.019999999999996,,1466.9587939883072
13,91,39210,,13.220296944335741,,59.1802037037037,,114.18983399679206,,78.78551027950606,,129.91789004727792,,1218.4762834146343,,20.019999999999996,,1579.3127767168808
14,98,39217,,13.220296944335741,,59.1802037037037,,114.18983399679206,,78.78551027950606,,129.91789004727792,,1218.4762834146343,,20.019999999999996,,1579.3127767168808
15,105,39224,,13.220296944335741,,59.1802037037037,,114.18983399679206,,78.78551027950606,,129.91789004727792,,1218.4762834146343,,20.019999999999996,,1579.3127767168808
16,112,39231,,13.220296944335741,,59.1802037037037,,114.18983399679206,,78.78551027950606,,129.91789004727792,,1218.4762834146343,,20.019999999999996,,1579.3127767168808
17,119,39238,,13.220296944335741,,59.1802037037037,,114.18983399679206,,78.78551027950606,,129.91789004727792,,1218.4762834146343,,20.019999999999996,,1579.3127767168808
18,126,39245,,13.220296944335741,,59.1802037037037,,114.18983399679206,,78.78551027950606,,129.91789004727792,,1218.4762834146343,,20.019999999999996,,1579.3127767168808
19,133,39252,,13.220296944335741,,59.1802037037037,,114.18983399679206,,78.78551027950606,,129.91789004727792,,1218.4762834146343,,20.019999999999996,,1579.3127767168808
20,140,39259,,13.220296944335741,,59.1802037037037,,114.18983399679206,,78.78551027950606,,129.91789004727792,,1218.4762834146343,,20.019999999999996,,1579.3127767168808
21,147,39266,,13.220296944335741,,59.1802037037037,,114.18983399679206,,78.78551027950606,,129.91789004727792,,1218.4762834146343,,20.019999999999996,,1579.3127767168808
22,154,39273,,13.220296944335741,,59.1802037037037,,114.18983399679206,,78.78551027950606,,129.91789004727792,,1218.4762834146343,,20.019999999999996,,1579.3127767168808
23,161,39280,,13.220296944335741,,59.1802037037037,,114.18983399679206,,78.78551027950606,,129.91789004727792,,1218.4762834146343,,20.019999999999996,,1579.3127767168808
24,168,39287,,13.220296944335741,,59.1802037037037,,114.18983399679206,,78.78551027950606,,129.91789004727792,,1218.4762834146343,,20.019999999999996,,1579.3127767168808
25,175,39294,,13.220296944335741,,59.1802037037037,,114.18983399679206,,78.78551027950606,,129.91789004727792,,1218.4762834146343,,20.019999999999996,,1579.3127767168808
26,182,39301,,13.220296944335741,,59.1802037037037,,114.18983399679206,,78.78551027950606,,129.91789004727792,,1218.4762834146343,,20.019999999999996,,1579.3127767168808
27,189,39308,,13.220296944335741,,59.1802037037037,,114.18983399679206,,78.78551027950606,,129.91789004727792,,1218.4762834146343,,20.019999999999996,,1579.3127767168808
