Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.3),Relación Ca:Mg (1:0.5) CaO/(Mg/1.14175),Relación K:Ca (1:1) CaO/(K2O/2.29)
,116.0,17,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,117.0,17,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,118.0,17,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,119.0,17,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,120.0,18,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,121.0,18,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,122.0,18,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,123.0,18,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,124.0,18,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,125.0,18,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,126.0,18,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,127.0,19,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,128.0,19,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,129.0,19,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,130.0,19,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,131.0,19,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,132.0,19,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,133.0,19,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,134.0,20,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,135.0,20,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,136.0,20,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,137.0,20,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,138.0,20,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,139.0,20,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,140.0,20,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,141.0,21,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,142.0,21,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,143.0,21,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,144.0,21,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,145.0,21,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,146.0,21,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
7.0,147.0,21,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
8.0,148.0,22,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,149.0,22,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,150.0,22,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,151.0,22,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,152.0,22,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,153.0,22,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,154.0,22,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,155.0,23,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,156.0,23,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,157.0,23,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,158.0,23,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,159.0,23,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,160.0,23,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,161.0,23,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,162.0,24,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,163.0,24,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
,164.0,24,6.055500121787969,3.0904874996904605,9.70178920997375,1.766490651851852,3.5487535416666667,35.6483,2.041013772788436,0.29314695340501806,0.36578341013824894
