Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
32,218,39666,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
33,225,39673,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
34,232,39680,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
35,239,39687,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
36,246,39694,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
37,253,39701,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
38,260,39708,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
39,267,39715,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
40,274,39722,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
41,281,39729,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
42,288,39736,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
43,295,39743,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
44,302,39750,,1.7456695083555074,,3.072711380869565,,5.983616853133919,,3.4563421891972794,,7.124417340651312,,0.0713678966,,20.019999999999996,,196.6085274810782
45,309,39757,,3.5813806034206586,,2.094614260869565,,8.291616666666666,,4.7895219906403845,,9.872446550633331,,0.0713678966,,20.019999999999996,,244.71351864079818
46,316,39764,,3.5813806034206586,,2.094614260869565,,8.291616666666666,,4.7895219906403845,,9.872446550633331,,0.0713678966,,20.019999999999996,,244.71351864079818
47,323,39771,,3.5813806034206586,,2.094614260869565,,8.291616666666666,,4.7895219906403845,,9.872446550633331,,0.0713678966,,20.019999999999996,,244.71351864079818
48,330,39778,,3.5813806034206586,,2.094614260869565,,8.291616666666666,,4.7895219906403845,,9.872446550633331,,0.0713678966,,20.019999999999996,,244.71351864079818
49,337,39785,,3.5813806034206586,,2.094614260869565,,8.291616666666666,,4.7895219906403845,,9.872446550633331,,0.0713678966,,20.019999999999996,,244.71351864079818
50,344,39792,,3.5813806034206586,,2.094614260869565,,8.291616666666666,,4.7895219906403845,,9.872446550633331,,0.0713678966,,20.019999999999996,,244.71351864079818
51,351,39799,,3.5813806034206586,,2.094614260869565,,8.291616666666666,,4.7895219906403845,,9.872446550633331,,0.0713678966,,20.019999999999996,,244.71351864079818
52,358,39806,,3.5813806034206586,,2.094614260869565,,8.291616666666666,,4.7895219906403845,,9.872446550633331,,0.0713678966,,20.019999999999996,,244.71351864079818
