Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Nitrato de Potasio (Lbs),Admin_Nitrato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
11,73,40184,,0.8949886830207722,,3.793494782608694,,13.543251193009995,,5.997668675448596,,10.989111192211228,,310.6448936585365,,14.0,,201.49227270743984
12,80,40191,,0.8949886830207722,,3.793494782608694,,13.543251193009995,,5.997668675448596,,10.989111192211228,,347.3711141463415,,14.0,,202.6528212748545
13,87,40198,,0.12145615808944185,,3.793494782608694,,12.288772349044985,,5.442119024981709,,9.971216204652908,,374.9157795121951,,14.0,,187.9602604212435
14,94,40205,,0.12145615808944185,,3.793494782608694,,12.288772349044985,,5.442119024981709,,9.971216204652908,,374.9157795121951,,14.0,,187.9602604212435
15,101,40212,,0.0,,3.793494782608694,,14.015294084034776,,6.206714259896494,,11.372130878033895,,374.9157795121951,,14.0,,205.5839759062893
16,108,40219,,0.0,,4.7003889130434775,,14.015294084034776,,6.206714259896494,,11.372130878033895,,374.9157795121951,,14.0,,208.5767265367241
17,115,40226,,0.0,,4.7003889130434775,,14.015294084034776,,6.206714259896494,,11.372130878033895,,374.9157795121951,,14.0,,208.5767265367241
18,122,40233,,0.0,,4.7003889130434775,,14.015294084034776,,6.206714259896494,,11.372130878033895,,374.9157795121951,,14.0,,208.5767265367241
19,129,40240,,0.0,,4.7003889130434775,,14.015294084034776,,6.206714259896494,,11.372130878033895,,374.9157795121951,,14.0,,208.5767265367241
20,136,40247,,0.0,,4.7003889130434775,,17.36586886257391,,7.690526167953265,,14.09081624201715,,374.9157795121951,,14.0,,243.5324463479651
21,143,40254,,0.0,,4.7003889130434775,,17.36586886257391,,7.690526167953265,,14.09081624201715,,374.9157795121951,,14.0,,243.5324463479651
22,150,40261,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
23,157,40268,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
24,164,40275,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
25,171,40282,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
26,178,40289,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
27,185,40296,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
28,192,40303,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
29,199,40310,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
30,206,40317,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
31,213,40324,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
32,220,40331,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
33,227,40338,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
34,234,40345,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
35,241,40352,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
36,248,40359,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
37,255,40366,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
38,262,40373,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
39,269,40380,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
40,276,40387,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
41,283,40394,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
42,290,40401,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
43,297,40408,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
44,304,40415,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
45,311,40422,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
46,318,40429,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
47,325,40436,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
48,332,40443,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
49,339,40450,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
50,346,40457,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
51,353,40464,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
52,360,40471,,0.0,,4.7003889130434775,,16.497575419445216,,7.305999859555599,,13.386275429916292,,374.9157795121951,,14.0,,234.47375513284828
