Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
16,106,39711,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
17,113,39718,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
18,120,39725,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
19,127,39732,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
20,134,39739,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
21,141,39746,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
22,148,39753,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
23,155,39760,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
24,162,39767,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
25,169,39774,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
26,176,39781,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
27,183,39788,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
28,190,39795,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
29,197,39802,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
30,204,39809,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
31,211,39816,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
32,218,39823,,11.862094397542531,,6.480434457391302,,16.306623666666667,,10.465849729693103,,0.0005824664008563401,,348.13608097560973,,20.019999999999996,,418.9589185077945
