Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Sin Boro,Admin_Sulfato de Magnesio_Cambios_2,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
20,134,40060,,713.6804541585924,,288.8788608695652,,710.4101666666667,,455.9525137001834,,0.025375581197470007,,3.7555484049999994,,301.0,,14113.49878967685
21,141,40067,,713.6804541585924,,288.8788608695652,,710.4101666666667,,455.9525137001834,,0.025375581197470007,,3.7555484049999994,,301.0,,14113.49878967685
22,148,40074,,713.6804541585924,,288.8788608695652,,710.4101666666667,,455.9525137001834,,0.025375581197470007,,3.7555484049999994,,301.0,,14113.49878967685
23,155,40081,,713.6804541585924,,288.8788608695652,,710.4101666666667,,455.9525137001834,,0.025375581197470007,,3.7555484049999994,,301.0,,14113.49878967685
24,162,40088,,713.6804541585924,,288.8788608695652,,710.4101666666667,,455.9525137001834,,0.025375581197470007,,3.7555484049999994,,301.0,,14113.49878967685
25,169,40095,,713.6804541585924,,288.8788608695652,,710.4101666666667,,455.9525137001834,,0.025375581197470007,,3.7555484049999994,,301.0,,14113.49878967685
26,176,40102,,713.6804541585924,,288.8788608695652,,710.4101666666667,,455.9525137001834,,0.025375581197470007,,3.7555484049999994,,301.0,,14113.49878967685
27,183,40109,,797.0471776959266,,288.8788608695652,,782.0481666666666,,501.93091844305894,,0.027934463335029996,,3.7555484049999994,,301.0,,15273.909614163907
28,190,40116,,797.0471776959266,,288.8788608695652,,782.0481666666666,,501.93091844305894,,0.027934463335029996,,3.7555484049999994,,301.0,,15273.909614163907
29,197,40123,,797.0471776959266,,288.8788608695652,,782.0481666666666,,501.93091844305894,,0.027934463335029996,,3.7555484049999994,,301.0,,15273.909614163907
30,204,40130,,797.0471776959266,,288.8788608695652,,782.0481666666666,,501.93091844305894,,0.027934463335029996,,3.7555484049999994,,301.0,,15273.909614163907
31,211,40137,,797.0471776959266,,288.8788608695652,,782.0481666666666,,501.93091844305894,,0.027934463335029996,,3.7555484049999994,,301.0,,15273.909614163907
32,218,40144,,645.3660557043875,,288.8788608695652,,782.0481666666666,,501.93091844305894,,0.027934463335029996,,3.7555484049999994,,301.0,,14507.919948106633
33,225,40151,,645.3660557043875,,288.8788608695652,,782.0481666666666,,501.93091844305894,,0.027934463335029996,,3.7555484049999994,,301.0,,14507.919948106633
34,232,40158,,645.3660557043875,,288.8788608695652,,782.0481666666666,,501.93091844305894,,0.027934463335029996,,3.7555484049999994,,301.0,,14507.919948106633
35,239,40165,,645.3660557043875,,288.8788608695652,,782.0481666666666,,501.93091844305894,,0.027934463335029996,,3.7555484049999994,,301.0,,14507.919948106633
36,246,40172,,645.3660557043875,,288.8788608695652,,782.0481666666666,,501.93091844305894,,0.027934463335029996,,3.7555484049999994,,301.0,,14507.919948106633
37,253,40179,,645.3660557043875,,288.8788608695652,,782.0481666666666,,501.93091844305894,,0.027934463335029996,,3.7555484049999994,,301.0,,14507.919948106633
38,260,40186,,645.3660557043875,,288.8788608695652,,782.0481666666666,,501.93091844305894,,0.027934463335029996,,3.7555484049999994,,301.0,,14507.919948106633
39,267,40193,,645.3660557043875,,288.8788608695652,,782.0481666666666,,501.93091844305894,,0.027934463335029996,,3.7555484049999994,,301.0,,14507.919948106633
40,274,40200,,685.0469814665208,,288.8788608695652,,822.9661066666667,,528.1927013873718,,0.029396036603012796,,3.7555484049999994,,301.0,,15130.641572249779
41,281,40207,,685.0469814665208,,288.8788608695652,,822.9661066666667,,528.1927013873718,,0.029396036603012796,,3.7555484049999994,,301.0,,15130.641572249779
42,288,40214,,685.0469814665208,,288.8788608695652,,822.9661066666667,,528.1927013873718,,0.029396036603012796,,3.7555484049999994,,301.0,,15130.641572249779
43,295,40221,,685.0469814665208,,288.8788608695652,,822.9661066666667,,528.1927013873718,,0.029396036603012796,,3.7555484049999994,,301.0,,15130.641572249779
44,302,40228,,685.0469814665208,,288.8788608695652,,822.9661066666667,,528.1927013873718,,0.029396036603012796,,3.7555484049999994,,301.0,,15130.641572249779
45,309,40235,,685.0469814665208,,288.8788608695652,,822.9661066666667,,528.1927013873718,,0.029396036603012796,,3.7555484049999994,,301.0,,15130.641572249779
46,316,40242,,685.0469814665208,,288.8788608695652,,822.9661066666667,,528.1927013873718,,0.029396036603012796,,3.7555484049999994,,301.0,,15130.641572249779
47,323,40249,,365.8123671785893,,288.8788608695652,,822.9661066666667,,528.1927013873718,,0.029396036603012796,,3.7555484049999994,,301.0,,13518.506770095726
48,330,40256,,427.264163019799,,131.83538260869562,,822.9661066666667,,528.1927013873718,,0.029396036603012796,,3.7555484049999994,,301.0,,12559.92703474601
49,337,40263,,437.506128993334,,105.66146956521737,,822.9661066666667,,528.1927013873718,,0.029396036603012796,,3.7555484049999994,,301.0,,12400.163745521057
50,344,40270,,437.506128993334,,105.66146956521737,,822.9661066666667,,528.1927013873718,,0.029396036603012796,,3.7555484049999994,,301.0,,12400.163745521057
51,351,40277,,437.506128993334,,105.66146956521737,,822.9661066666667,,528.1927013873718,,0.029396036603012796,,3.7555484049999994,,301.0,,12400.163745521057
52,358,40284,,437.506128993334,,105.66146956521737,,822.9661066666667,,528.1927013873718,,0.029396036603012796,,3.7555484049999994,,301.0,,12400.163745521057
