Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Preventivos (Unidades),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Admin_Costo / Aplicación (Costo / Aplicación)
20,136,40062,,0.0,0,356.8402270792962,,144.4394304347826,,355.20508333333333,,227.9762568500917,,0.012687790598735003,,1.8777742024999997,,301.0,7478.149394838426
21,143,40069,,0.0,0,356.8402270792962,,144.4394304347826,,355.20508333333333,,227.9762568500917,,0.012687790598735003,,1.8777742024999997,,301.0,7478.149394838426
22,150,40076,,0.0,0,356.8402270792962,,144.4394304347826,,355.20508333333333,,227.9762568500917,,0.012687790598735003,,1.8777742024999997,,301.0,7478.149394838426
23,157,40083,,0.0,0,356.8402270792962,,144.4394304347826,,355.20508333333333,,227.9762568500917,,0.012687790598735003,,1.8777742024999997,,301.0,7478.149394838426
24,164,40090,,0.0,0,356.8402270792962,,144.4394304347826,,355.20508333333333,,227.9762568500917,,0.012687790598735003,,1.8777742024999997,,301.0,7478.149394838426
25,171,40097,,0.0,0,356.8402270792962,,144.4394304347826,,355.20508333333333,,227.9762568500917,,0.012687790598735003,,1.8777742024999997,,301.0,7478.149394838426
26,178,40104,,0.0,0,356.8402270792962,,144.4394304347826,,355.20508333333333,,227.9762568500917,,0.012687790598735003,,1.8777742024999997,,301.0,7478.149394838426
27,185,40111,,0.0,0,398.5235888479633,,144.4394304347826,,391.0240833333333,,250.96545922152947,,0.013967231667514998,,1.8777742024999997,,301.0,8058.354807081954
28,192,40118,,0.0,0,398.5235888479633,,144.4394304347826,,391.0240833333333,,250.96545922152947,,0.013967231667514998,,1.8777742024999997,,301.0,8058.354807081954
29,199,40125,,0.0,0,398.5235888479633,,144.4394304347826,,391.0240833333333,,250.96545922152947,,0.013967231667514998,,1.8777742024999997,,301.0,8058.354807081954
30,206,40132,,0.0,0,398.5235888479633,,144.4394304347826,,391.0240833333333,,250.96545922152947,,0.013967231667514998,,1.8777742024999997,,301.0,8058.354807081954
31,213,40139,,0.0,0,398.5235888479633,,144.4394304347826,,391.0240833333333,,250.96545922152947,,0.013967231667514998,,1.8777742024999997,,301.0,8058.354807081954
32,220,40146,,0.0,0,322.68302785219373,,144.4394304347826,,391.0240833333333,,250.96545922152947,,0.013967231667514998,,1.8777742024999997,,301.0,7675.359974053317
33,227,40153,,0.0,0,322.68302785219373,,144.4394304347826,,391.0240833333333,,250.96545922152947,,0.013967231667514998,,1.8777742024999997,,301.0,7675.359974053317
34,234,40160,,0.0,0,322.68302785219373,,144.4394304347826,,391.0240833333333,,250.96545922152947,,0.013967231667514998,,1.8777742024999997,,301.0,7675.359974053317
35,241,40167,,0.0,0,322.68302785219373,,144.4394304347826,,391.0240833333333,,250.96545922152947,,0.013967231667514998,,1.8777742024999997,,301.0,7675.359974053317
36,248,40174,,0.0,0,322.68302785219373,,144.4394304347826,,391.0240833333333,,250.96545922152947,,0.013967231667514998,,1.8777742024999997,,301.0,7675.359974053317
37,255,40181,,0.0,0,322.68302785219373,,144.4394304347826,,391.0240833333333,,250.96545922152947,,0.013967231667514998,,1.8777742024999997,,301.0,7675.359974053317
38,262,40188,,0.0,0,322.68302785219373,,144.4394304347826,,391.0240833333333,,250.96545922152947,,0.013967231667514998,,1.8777742024999997,,301.0,7675.359974053317
39,269,40195,,0.0,0,322.68302785219373,,144.4394304347826,,391.0240833333333,,250.96545922152947,,0.013967231667514998,,1.8777742024999997,,301.0,7675.359974053317
40,276,40202,,0.0,0,342.5234907332604,,144.4394304347826,,411.4830533333334,,264.0963506936859,,0.014698018301506398,,1.8777742024999997,,301.0,7986.72078612489
