Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
16,106,39554,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
17,113,39561,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
18,120,39568,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
19,127,39575,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
20,134,39582,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
21,141,39589,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
22,148,39596,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
23,155,39603,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
24,162,39610,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
25,169,39617,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
26,176,39624,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
27,183,39631,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
28,190,39638,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
29,197,39645,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
30,204,39652,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
31,211,39659,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
32,218,39666,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
