Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
12,78,39526,,1.6696265173819362,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.029566737199999995,,20.019999999999996,,129.55927038151603
13,85,39533,,1.6696265173819362,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,129.55927038151603
14,92,39540,,1.6696265173819362,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,129.55927038151603
15,99,39547,,1.6696265173819362,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,129.55927038151603
16,106,39554,,1.6696265173819362,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,129.55927038151603
17,113,39561,,1.6696265173819362,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,129.55927038151603
18,120,39568,,1.6696265173819362,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,129.55927038151603
19,127,39575,,1.6696265173819362,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,129.55927038151603
20,134,39582,,1.6696265173819362,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,129.55927038151603
21,141,39589,,1.6696265173819362,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,129.55927038151603
