Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación,Columna_19
32,220,38008,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
33,227,38015,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
34,234,38022,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
35,241,38029,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
36,248,38036,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
37,255,38043,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
38,262,38050,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
39,269,38057,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
40,276,38064,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
41,283,38071,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
42,290,38078,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
43,297,38085,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
44,304,38092,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
45,311,38099,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
46,318,38106,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
47,325,38113,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
48,332,38120,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
49,339,38127,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
50,346,38134,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
51,353,38141,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
52,360,38148,,0.0,,10.681106267011195,,58.45478157037034,,45.92875694814814,,59.99702484217548,,609.2381417073171,,20.019999999999996,,871.7350831013979,
