Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
30,204,40018,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
31,211,40025,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
32,218,40032,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
33,225,40039,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
34,232,40046,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
35,239,40053,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
36,246,40060,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
37,253,40067,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
38,260,40074,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
39,267,40081,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
40,274,40088,,5.680509846347569,,3.4351477117015556,,7.028602052351167,,4.511068286937216,,0.00025105899444120383,,174.06804048780486,,20.019999999999996,,209.7094441616651
