Semana,N,Urea,P2O5,DAP 18-46-0,K2O,Kcl,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
14,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
15,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
16,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
17,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
18,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
19,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
20,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
21,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
22,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
23,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
24,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
25,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
26,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
27,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
28,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
29,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
30,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
31,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
32,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
