Semana,N,Urea,P2O5,DAP 18-46-0,K2O,Kcl,MgO,Sulfato de Magnesio,Ca,Sin Calcio,B,Sin Boro
17,3.609788361361882,6.774375454756455,1.26136,2.742086956521739,4.046,6.743333333333334,0.6924765276889353,4.327978298055846,2.4086930420000003,0.00024086930420000004,35.6483,0.0356483
18,3.609788361361882,6.774375454756455,1.26136,2.742086956521739,4.046,6.743333333333334,0.6924765276889353,4.327978298055846,2.4086930420000003,0.00024086930420000004,35.6483,0.0356483
19,3.609788361361882,6.774375454756455,1.26136,2.742086956521739,4.046,6.743333333333334,0.6924765276889353,4.327978298055846,2.4086930420000003,0.00024086930420000004,35.6483,0.0356483
20,3.609788361361882,6.774375454756455,1.26136,2.742086956521739,4.046,6.743333333333334,0.6924765276889353,4.327978298055846,2.4086930420000003,0.00024086930420000004,35.6483,0.0356483
21,3.609788361361882,6.774375454756455,1.26136,2.742086956521739,4.046,6.743333333333334,0.6924765276889353,4.327978298055846,2.4086930420000003,0.00024086930420000004,35.6483,0.0356483
22,3.609788361361882,6.774375454756455,1.26136,2.742086956521739,4.046,6.743333333333334,0.6924765276889353,4.327978298055846,2.4086930420000003,0.00024086930420000004,35.6483,0.0356483
23,3.609788361361882,6.774375454756455,1.26136,2.742086956521739,4.046,6.743333333333334,0.6924765276889353,4.327978298055846,2.4086930420000003,0.00024086930420000004,35.6483,0.0356483
24,3.609788361361882,6.774375454756455,1.26136,2.742086956521739,4.046,6.743333333333334,0.6924765276889353,4.327978298055846,2.4086930420000003,0.00024086930420000004,35.6483,0.0356483
25,3.609788361361882,6.774375454756455,1.26136,2.742086956521739,4.046,6.743333333333334,0.6924765276889353,4.327978298055846,2.4086930420000003,0.00024086930420000004,35.6483,0.0356483
26,3.609788361361882,6.774375454756455,1.26136,2.742086956521739,4.046,6.743333333333334,0.6924765276889353,4.327978298055846,2.4086930420000003,0.00024086930420000004,35.6483,0.0356483
27,3.609788361361882,6.774375454756455,1.26136,2.742086956521739,4.454,7.423333333333333,0.7623060935063068,4.764413084414418,2.651586458,0.0002651586458,35.6483,0.0356483
28,3.9738006330958524,7.565706480265085,1.26136,2.742086956521739,4.454,7.423333333333333,0.7623060935063068,4.764413084414418,2.651586458,0.0002651586458,35.6483,0.0356483
29,3.9738006330958524,7.565706480265085,1.26136,2.742086956521739,4.454,7.423333333333333,0.7623060935063068,4.764413084414418,2.651586458,0.0002651586458,35.6483,0.0356483
30,3.9738006330958524,7.565706480265085,1.26136,2.742086956521739,4.454,7.423333333333333,0.7623060935063068,4.764413084414418,2.651586458,0.0002651586458,35.6483,0.0356483
31,3.576420569786267,6.701836777418161,1.26136,2.742086956521739,4.454,7.423333333333333,0.7623060935063068,4.764413084414418,2.651586458,0.0002651586458,35.6483,0.0356483
32,3.576420569786267,6.701836777418161,1.26136,2.742086956521739,4.454,7.423333333333333,0.7623060935063068,4.764413084414418,2.651586458,0.0002651586458,35.6483,0.0356483
33,3.576420569786267,6.701836777418161,1.26136,2.742086956521739,4.454,7.423333333333333,0.7623060935063068,4.764413084414418,2.651586458,0.0002651586458,35.6483,0.0356483
34,3.576420569786267,6.701836777418161,1.26136,2.742086956521739,4.454,7.423333333333333,0.7623060935063068,4.764413084414418,2.651586458,0.0002651586458,35.6483,0.0356483
35,3.576420569786267,6.701836777418161,1.26136,2.742086956521739,4.454,7.423333333333333,0.7623060935063068,4.764413084414418,2.651586458,0.0002651586458,35.6483,0.0356483
36,3.576420569786267,6.701836777418161,1.26136,2.742086956521739,4.454,7.423333333333333,0.7623060935063068,4.764413084414418,2.651586458,0.0002651586458,35.6483,0.0356483
37,3.576420569786267,6.701836777418161,1.26136,2.742086956521739,4.454,7.423333333333333,0.7623060935063068,4.764413084414418,2.651586458,0.0002651586458,35.6483,0.0356483
38,3.576420569786267,6.701836777418161,1.26136,2.742086956521739,4.454,7.423333333333333,0.7623060935063068,4.764413084414418,2.651586458,0.0002651586458,35.6483,0.0356483
39,3.576420569786267,6.701836777418161,1.26136,2.742086956521739,4.454,7.423333333333333,0.7623060935063068,4.764413084414418,2.651586458,0.0002651586458,35.6483,0.0356483
40,2.7878105851437787,4.987467245586664,1.26136,2.742086956521739,4.68704,7.811733333333333,0.802191098452582,5.013694365328637,2.79032146208,0.000279032146208,35.6483,0.0356483
41,2.7878105851437787,4.987467245586664,1.26136,2.742086956521739,4.68704,7.811733333333333,0.802191098452582,5.013694365328637,2.79032146208,0.000279032146208,35.6483,0.0356483
42,2.7878105851437787,4.987467245586664,1.26136,2.742086956521739,4.68704,7.811733333333333,0.802191098452582,5.013694365328637,2.79032146208,0.000279032146208,35.6483,0.0356483
43,2.7878105851437787,4.987467245586664,1.26136,2.742086956521739,4.68704,7.811733333333333,0.802191098452582,5.013694365328637,2.79032146208,0.000279032146208,35.6483,0.0356483
44,2.7878105851437787,4.987467245586664,1.26136,2.742086956521739,4.68704,7.811733333333333,0.802191098452582,5.013694365328637,2.79032146208,0.000279032146208,35.6483,0.0356483
45,2.7878105851437787,4.987467245586664,1.26136,2.742086956521739,4.68704,7.811733333333333,0.802191098452582,5.013694365328637,2.79032146208,0.000279032146208,35.6483,0.0356483
46,2.7878105851437787,4.987467245586664,1.26136,2.742086956521739,4.68704,7.811733333333333,0.802191098452582,5.013694365328637,2.79032146208,0.000279032146208,35.6483,0.0356483
47,2.090857938857834,3.4723527971389583,1.26136,2.742086956521739,4.68704,7.811733333333333,0.802191098452582,5.013694365328637,2.79032146208,0.000279032146208,35.6483,0.0356483
48,2.090857938857834,3.4723527971389583,1.26136,2.742086956521739,4.68704,7.811733333333333,0.802191098452582,5.013694365328637,2.79032146208,0.000279032146208,35.6483,0.0356483
49,2.090857938857834,4.152882097706066,0.46136,1.0029565217391303,4.68704,7.811733333333333,0.802191098452582,5.013694365328637,2.79032146208,0.000279032146208,35.6483,0.0356483
50,2.090857938857834,4.152882097706066,0.46136,1.0029565217391303,4.68704,7.811733333333333,0.802191098452582,5.013694365328637,2.79032146208,0.000279032146208,35.6483,0.0356483
51,2.090857938857834,4.152882097706066,0.46136,1.0029565217391303,4.68704,7.811733333333333,0.802191098452582,5.013694365328637,2.79032146208,0.000279032146208,35.6483,0.0356483
52,2.090857938857834,4.152882097706066,0.46136,1.0029565217391303,4.68704,7.811733333333333,0.802191098452582,5.013694365328637,2.79032146208,0.000279032146208,35.6483,0.0356483
