Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
11,71,39885,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1009.595904390244,,20.019999999999996,,1902.3820607145872
12,78,39892,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1128.9561209756096,,20.019999999999996,,1907.1564693780017
13,85,39899,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
14,92,39906,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
15,99,39913,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
16,106,39920,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
17,113,39927,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
18,120,39934,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
19,127,39941,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
20,134,39948,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
21,141,39955,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
22,148,39962,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
23,155,39969,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
24,162,39976,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
25,169,39983,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
26,176,39990,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
27,183,39997,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
28,190,40004,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
29,197,40011,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
30,204,40018,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
31,211,40025,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
32,218,40032,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
33,225,40039,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
34,232,40046,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
35,239,40053,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
36,246,40060,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
37,253,40067,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
38,260,40074,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
39,267,40081,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
40,274,40088,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
41,281,40095,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
42,288,40102,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
43,295,40109,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
44,302,40116,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
45,309,40123,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
46,316,40130,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
47,323,40137,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
48,330,40144,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
49,337,40151,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
50,344,40158,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
51,351,40165,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
52,358,40172,,25.232764762902544,,7.027716347826085,,54.73681546666667,,35.13095641785775,,72.4140092029428,,1218.4762834146343,,20.019999999999996,,1910.7372758755628
