Requerimientos Semanal para:,Columna_1,Columna_2,Columna_3,Columna_4,Piña,Piña_1,Piña_2,Piña_3,Piña_4,Piña_5,Columna_11,Columna_12
33,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
34,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
35,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
36,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
37,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
38,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
39,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
40,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
41,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
42,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
43,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
44,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
45,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
46,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
47,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
48,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
49,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
50,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
51,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
52,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
