Requerimientos Semanal para:,Columna_1,Columna_2,Columna_3,Columna_4,Fresa / Sweet Charly,Fresa / Sweet Charly_1,Fresa / Sweet Charly_2,Fresa / Sweet Charly_3,Fresa / Sweet Charly_4,Fresa / Sweet Charly_5,Columna_11,Columna_12
25,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
26,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
27,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
28,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
29,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
30,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
31,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
32,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
33,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
34,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
35,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
36,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
37,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
