Semana,N,Nitrato de Amonio,P2O5,MAP 12-61-0,K2O,Kcl Soluble,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
11,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,23.039016,112.38544390243904
12,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,23.039016,112.38544390243904
13,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
14,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
15,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
16,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
17,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
18,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
19,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
20,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
21,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
22,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
23,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
24,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
25,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
26,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
27,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
28,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
29,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
30,2.99818647559187,3.2338659948079482,2.1758543007751934,3.566974263565891,4.35041152,7.250685866666666,0.9307210403446435,5.817006502154022,2.58991743896704,9.592286810989036,27.805674,135.63743414634146
31,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
