Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
16,108,39713,,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,,691.1361073886405
17,115,39720,TricoZam,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,1.001,1071.5161073886404
18,122,39727,,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,,691.1361073886405
19,129,39734,,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,,691.1361073886405
20,136,39741,Acido Salicílico,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,250.24999999999997,733.6786073886406
21,143,39748,BaZam,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,1.001,1071.5161073886404
22,150,39755,,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,,691.1361073886405
23,157,39762,,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,,691.1361073886405
24,164,39769,,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,,691.1361073886405
25,171,39776,TricoZam,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,1.001,1071.5161073886404
26,178,39783,,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,,691.1361073886405
27,185,39790,,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,,691.1361073886405
28,192,39797,,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,,691.1361073886405
29,199,39804,BaZam,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,1.001,1071.5161073886404
30,206,39811,,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,,691.1361073886405
31,213,39818,,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,,691.1361073886405
32,220,39825,,20.75866519569943,,11.340760300434779,,28.53659141666667,,18.31523702696293,,0.001019316201498595,,609.2381417073171,,20.019999999999996,,691.1361073886405
