Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),",@ Melaza (Lts)",",@ Melaza (Cambios)",Admin_Costo / Aplicación (Costo / Aplicación)
22,148,38667,,7.031607794291584,,4.473396265042622,,12.856086486486486,,7.604146961221619,,3.5675668569081074,,174.06804048780486,,20.019999999999996,,203.47420495055482
23,155,38674,,7.031607794291584,,4.473396265042622,,12.856086486486486,,7.604146961221619,,3.5675668569081074,,174.06804048780486,,20.019999999999996,,203.47420495055482
24,162,38681,,7.031607794291584,,4.473396265042622,,12.856086486486486,,7.604146961221619,,3.5675668569081074,,174.06804048780486,,20.019999999999996,,203.47420495055482
25,169,38688,,7.031607794291584,,4.473396265042622,,12.856086486486486,,7.604146961221619,,3.5675668569081074,,174.06804048780486,,20.019999999999996,,203.47420495055482
26,176,38695,,7.031607794291584,,4.473396265042622,,12.856086486486486,,7.604146961221619,,3.5675668569081074,,174.06804048780486,,20.019999999999996,,203.47420495055482
27,183,38702,,7.031607794291584,,4.473396265042622,,12.856086486486486,,7.604146961221619,,3.5675668569081074,,174.06804048780486,,20.019999999999996,,203.47420495055482
28,190,38709,,7.031607794291584,,4.473396265042622,,12.856086486486486,,7.604146961221619,,3.5675668569081074,,174.06804048780486,,20.019999999999996,,203.47420495055482
29,197,38716,,7.031607794291584,,4.473396265042622,,12.856086486486486,,7.604146961221619,,3.5675668569081074,,174.06804048780486,,20.019999999999996,,203.47420495055482
30,204,38723,,7.031607794291584,,4.473396265042622,,12.856086486486486,,7.604146961221619,,3.5675668569081074,,174.06804048780486,,20.019999999999996,,203.47420495055482
31,211,38730,,7.031607794291584,,4.473396265042622,,12.856086486486486,,7.604146961221619,,3.5675668569081074,,174.06804048780486,,20.019999999999996,,203.47420495055482
32,218,38737,,7.031607794291584,,4.473396265042622,,12.856086486486486,,7.604146961221619,,3.5675668569081074,,174.06804048780486,,20.019999999999996,,203.47420495055482
33,225,38744,,7.031607794291584,,4.473396265042622,,12.856086486486486,,7.604146961221619,,3.5675668569081074,,174.06804048780486,,20.019999999999996,,203.47420495055482
34,232,38751,,7.031607794291584,,4.473396265042622,,12.856086486486486,,7.604146961221619,,3.5675668569081074,,174.06804048780486,,20.019999999999996,,203.47420495055482
35,239,38758,,8.810179582486144,,5.903177113653491,,16.229916405405405,,9.5997074727811,,4.503805409148089,,174.06804048780486,,20.019999999999996,,251.55509872549015
36,246,38765,,8.810179582486144,,5.903177113653491,,16.229916405405405,,9.5997074727811,,4.503805409148089,,174.06804048780486,,20.019999999999996,,251.55509872549015
37,253,38772,,8.810179582486144,,5.903177113653491,,16.229916405405405,,9.5997074727811,,4.503805409148089,,174.06804048780486,,20.019999999999996,,251.55509872549015
38,260,38779,,8.810179582486144,,5.903177113653491,,16.229916405405405,,9.5997074727811,,4.503805409148089,,174.06804048780486,,20.019999999999996,,251.55509872549015
39,267,38786,,8.456076041259646,,5.903177113653491,,20.0168969,,11.839639216430022,,5.55469333794931,,174.06804048780486,,20.019999999999996,,278.9789663578743
40,274,38793,,8.456076041259646,,5.903177113653491,,20.0168969,,11.839639216430022,,5.55469333794931,,174.06804048780486,,20.019999999999996,,278.9789663578743
41,281,38800,,8.456076041259646,,5.903177113653491,,20.0168969,,11.839639216430022,,5.55469333794931,,174.06804048780486,,20.019999999999996,,278.9789663578743
42,288,38807,,8.456076041259646,,5.903177113653491,,20.0168969,,11.839639216430022,,5.55469333794931,,174.06804048780486,,20.019999999999996,,278.9789663578743
43,295,38814,,8.456076041259646,,5.903177113653491,,20.0168969,,11.839639216430022,,5.55469333794931,,174.06804048780486,,20.019999999999996,,278.9789663578743
44,302,38821,,8.456076041259646,,5.903177113653491,,20.0168969,,11.839639216430022,,5.55469333794931,,174.06804048780486,,20.019999999999996,,278.9789663578743
45,309,38828,,8.456076041259646,,5.903177113653491,,20.0168969,,11.839639216430022,,5.55469333794931,,174.06804048780486,,20.019999999999996,,278.9789663578743
46,316,38835,,8.456076041259646,,5.903177113653491,,20.0168969,,11.839639216430022,,5.55469333794931,,174.06804048780486,,20.019999999999996,,278.9789663578743
47,323,38842,,8.456076041259646,,5.903177113653491,,20.0168969,,11.839639216430022,,5.55469333794931,,174.06804048780486,,20.019999999999996,,278.9789663578743
48,330,38849,,8.456076041259646,,5.903177113653491,,20.0168969,,11.839639216430022,,5.55469333794931,,174.06804048780486,,20.019999999999996,,278.9789663578743
49,337,38856,,8.456076041259646,,5.903177113653491,,20.0168969,,11.839639216430022,,5.55469333794931,,174.06804048780486,,20.019999999999996,,278.9789663578743
50,344,38863,,8.456076041259646,,5.903177113653491,,20.0168969,,11.839639216430022,,5.55469333794931,,174.06804048780486,,,,249.94996635787433
51,351,38870,,8.456076041259646,,5.903177113653491,,20.0168969,,11.839639216430022,,5.55469333794931,,174.06804048780486,,20.019999999999996,,278.9789663578743
52,358,38877,,8.456076041259646,,5.903177113653491,,20.0168969,,11.839639216430022,,5.55469333794931,,174.06804048780486,,,,249.94996635787433
