Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O,Columna_12
,43.0,7,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,13.505622000000002,2.317360997759834,0.5,0.5,2.58991743896704
,44.0,7,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,13.505622000000002,2.317360997759834,0.5,0.5,2.58991743896704
5.0,45.0,7,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,13.505622000000002,2.317360997759834,0.5,0.5,2.58991743896704
6.0,46.0,7,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,13.505622000000002,2.317360997759834,0.5,0.5,2.58991743896704
,47.0,7,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,13.505622000000002,2.317360997759834,0.5,0.5,2.58991743896704
,48.0,7,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,18.27228,2.317360997759834,0.5,0.5,2.58991743896704
,49.0,7,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,18.27228,2.317360997759834,0.5,0.5,2.58991743896704
,50.0,8,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,18.27228,2.317360997759834,0.5,0.5,2.58991743896704
,51.0,8,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,18.27228,2.317360997759834,0.5,0.5,2.58991743896704
,52.0,8,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,18.27228,2.317360997759834,0.5,0.5,2.58991743896704
,53.0,8,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,18.27228,2.317360997759834,0.5,0.5,2.58991743896704
,54.0,8,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,18.27228,2.317360997759834,0.5,0.5,2.58991743896704
,55.0,8,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,18.27228,2.317360997759834,0.5,0.5,2.58991743896704
,56.0,8,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,18.27228,2.317360997759834,0.5,0.5,2.58991743896704
,57.0,9,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,18.27228,2.317360997759834,0.5,0.5,2.58991743896704
,58.0,9,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,18.27228,2.317360997759834,0.5,0.5,2.58991743896704
,59.0,9,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,18.27228,2.317360997759834,0.5,0.5,2.58991743896704
,60.0,9,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,18.27228,2.317360997759834,0.5,0.5,2.58991743896704
,61.0,9,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,18.27228,2.317360997759834,0.5,0.5,2.58991743896704
,62.0,9,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,18.27228,2.317360997759834,0.5,0.5,2.58991743896704
,63.0,9,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,64.0,10,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
6.0,65.0,10,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
7.0,66.0,10,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,67.0,10,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,68.0,10,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,69.0,10,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,70.0,10,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,71.0,11,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,72.0,11,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,73.0,11,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,74.0,11,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,75.0,11,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,76.0,11,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,77.0,11,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,78.0,12,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,79.0,12,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,80.0,12,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,23.039016,2.317360997759834,0.5,0.5,2.58991743896704
,81.0,12,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,82.0,12,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,83.0,12,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,84.0,12,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,85.0,13,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,86.0,13,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,87.0,13,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,88.0,13,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,89.0,13,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,90.0,13,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,91.0,13,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,92.0,14,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,93.0,14,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,94.0,14,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,95.0,14,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,96.0,14,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,97.0,14,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,98.0,14,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,99.0,15,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,100.0,15,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,101.0,15,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,102.0,15,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,103.0,15,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,104.0,15,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,105.0,15,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
,106.0,16,2.99818647559187,2.1758543007751934,4.35041152,0.9307210403446435,2.58991743896704,27.805674,2.317360997759834,0.5,0.5,2.58991743896704
