Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
23,155,39201,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
24,162,39208,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
25,169,39215,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
26,176,39222,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
27,183,39229,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
28,190,39236,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
29,197,39243,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
30,204,39250,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
31,211,39257,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
32,218,39264,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
33,225,39271,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
34,232,39278,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
35,239,39285,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
36,246,39292,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
37,253,39299,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
38,260,39306,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
39,267,39313,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
40,274,39320,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
41,281,39327,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
42,288,39334,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
43,295,39341,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
44,302,39348,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
45,309,39355,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
46,316,39362,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
47,323,39369,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
48,330,39376,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
49,337,39383,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
50,344,39390,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
51,351,39397,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
52,358,39404,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
