Requerimientos Semanal para:,Columna_1,Columna_2,Columna_3,Columna_4,Piña,Piña_1,Piña_2,Piña_3,Piña_4,Piña_5,Columna_11,Columna_12
18,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
19,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
20,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
21,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
22,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
23,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
24,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
25,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
26,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
27,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
28,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
29,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
30,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
31,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
32,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
