Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),",@ Melaza (Lts)",",@ Melaza (Cambios)",Admin_Costo / Aplicación (Costo / Aplicación)
23,155,37943,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
24,162,37950,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
25,169,37957,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
26,176,37964,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
27,183,37971,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
28,190,37978,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
29,197,37985,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
30,204,37992,,3.237099860802756,,3.5705412378294565,,7.257936552533332,,5.822823508656175,,9.601879097800024,,135.7730715804878,,20.019999999999996,,187.03060797118704
31,211,37999,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
32,218,38006,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
33,225,38013,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
34,232,38020,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
35,239,38027,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
36,246,38034,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
37,253,38041,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
38,260,38048,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
39,267,38055,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
40,274,38062,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
41,281,38069,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
42,288,38076,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
43,295,38083,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
44,302,38090,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
45,309,38097,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
46,316,38104,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
47,323,38111,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
48,330,38118,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
49,337,38125,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
50,344,38132,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,,,166.7453041218323
51,351,38139,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,20.019999999999996,,195.7743041218323
52,358,38146,,0.31228919641304337,,2.3803608252196375,,9.596604997238515,,7.699066639223164,,12.695817918202252,,135.7730715804878,,,,166.7453041218323
